index,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
4108,the saBoteUr,PS3,2009,ActION,electronic arts,0.2,0.21,0.0,0.07,0.48,72.0,54.0,8.1,118.0,Pandemic Studios,M
4109,MEtal gEAR RISING: REVEnGEAnCe,X360,2013,ACTIOn,konami digital entertainment,0.3,0.14,0.0,0.04,0.48,82.0,46.0,7.8,358.0,PlatinumGames,M
4110,atELIeR rORONa: alchEmIST OF ArLANd,PS3,2009,rOlE-PlAyinG,nippon ichi software,0.22,0.1,0.11,0.05,0.48,,,,,,
4111,ThEme ParK ROllER CoAStEr,PS2,2000,sTRategy,electronic arts,0.23,0.18,0.0,0.06,0.48,82.0,11.0,7.9,17.0,Bullfrog Productions,E
4112,bASS pRo shoPs: THE StRIke,Wii,2009,SPoRtS,xs games,0.44,0.0,0.0,0.03,0.48,,,7.6,5.0,Piranha Games,E
4113,BaKUgan baTTLe BraWleRs: dEFeNDers Of thE corE,DS,2010,aCtION,activision,0.41,0.02,0.02,0.03,0.48,,,tbd,,Now Production,E10+
4114,nfL XtRemE 2,PS,1999,sPoRTS,989 studios,0.27,0.18,0.0,0.03,0.48,,,,,,
4115,MajoR lEaGuE bASEbaLl 2K13,X360,2013,sPOrTS,take-two interactive,0.44,0.0,0.0,0.04,0.48,,,,,,
4116,sCrAbble 2007 EDItion,DS,2007,pUzzle,ubisoft,0.0,0.47,0.0,0.0,0.48,,,,,,
4117,NhL 16,XOne,2015,sporTS,electronic arts,0.38,0.05,0.0,0.05,0.48,80.0,18.0,6,81.0,"EA Sports, EA Canada",E10+
4118,mIDnighT Club: sTReEt rAcInG,GBA,2001,rAciNG,rebellion,0.34,0.13,0.0,0.01,0.48,50.0,5.0,5.3,6.0,Angel Studios,E
4119,tIgER woOdS pgA TOur 06,XB,2005,SPorTs,electronic arts,0.35,0.11,0.0,0.02,0.48,81.0,30.0,5.1,11.0,EA Sports,E
4120,FOrTunE stReET,Wii,2011,miSc,nintendo,0.25,0.03,0.17,0.02,0.48,68.0,42.0,7.5,24.0,Marvelous AQL,E
4121,fiFA WOrLd CuP geRmanY 2006,X360,2006,SpOrts,electronic arts,0.19,0.27,0.01,0.0,0.48,72.0,49.0,6.6,33.0,EA Canada,E
4122,uP,PS2,2009,actiOn,thq,0.19,0.05,0.0,0.24,0.48,,,tbd,,Asobo Studio,E
4123,Grand PrIx,2600,1981,racing,activision,0.45,0.03,0.0,0.0,0.48,,,,,,
4124,Jake poWeR: FIRemaN,DS,2008,ADVeNtUrE,ubisoft,0.08,0.35,0.0,0.05,0.48,,,tbd,,Magic Pockets,E
4125,WoRlD Of OuTlaWS: spriNT caRs 2002,PS2,2002,RaCINg,ignition entertainment,0.23,0.18,0.0,0.06,0.48,80.0,10.0,9.1,10.0,Ratbag,E
4126,CHILdRen OF mANa,DS,2006,RoLE-pLAyIng,nintendo,0.16,0.01,0.29,0.01,0.48,65.0,34.0,6,21.0,Nex Entertainment,E10+
4127,SoniC thE HEdGehOG,PS3,,PlatFOrm,,0.0,0.48,0.0,0.0,0.48,43.0,17.0,4.1,176.0,Sonic Team,E10+
4128,fantAviSION,PS2,2000,PUZzle,sony computer entertainment,0.14,0.11,0.19,0.04,0.47,72.0,18.0,6.3,9.0,SCEJ,E
4129,dOUBLe drAgoN,2600,1989,ActiOn,activision,0.45,0.02,0.0,0.01,0.47,,,,,,
4130,aliEn tRiLOGy,PS,1996,shoOTeR,acclaim entertainment,0.24,0.16,0.04,0.03,0.47,,,,,,
4131,nBA LiVE 99,N64,1998,SPORTs,electronic arts,0.45,0.02,0.0,0.0,0.47,,,,,,
4132,kArATE,2600,,FIGhTING,ultravision,0.44,0.03,0.0,0.0,0.47,,,,,,
4133,X-MEN: nExT DiMENsIOn,PS2,2002,FigHtIng,activision,0.23,0.18,0.0,0.06,0.47,61.0,19.0,8.7,13.0,Paradox Development,T
4134,Go DiEgo go! GrEAT DinOSAur ResCue,DS,2008,actiON,take-two interactive,0.43,0.01,0.0,0.03,0.47,,,,,,
4135,tHE GoDfATHer (jp saLes),PS2,2006,ACTIOn,electronic arts,0.39,0.02,0.0,0.06,0.47,,,,,,
4136,DYNAStY WarRiors GUnDAM,PS3,2007,ACtIon,tecmo koei,0.14,0.01,0.31,0.02,0.47,60.0,29.0,6.9,16.0,"Koei, Omega Force",T
4137,dOOm 3 BFG ediTiOn,X360,2012,shootER,bethesda softworks,0.28,0.15,0.0,0.04,0.47,67.0,30.0,6.5,132.0,id Software,M
4138,AliCE IN wOndErLaND,DS,2010,AdvenTUrE,disney interactive studios,0.25,0.17,0.0,0.04,0.47,78.0,24.0,tbd,,Etranges Libellules,E10+
4139,spider-mAn 3,Wii,2007,pLatFoRm,activision,0.42,0.02,0.0,0.04,0.47,53.0,39.0,5.3,29.0,Vicarious Visions,T
4140,sUpER Puyo PuyO 2,SNES,1995,puZZlE,compile,0.0,0.0,0.47,0.0,0.47,,,,,,
4141,RocK BAnd 4,XOne,2015,misC,harmonix music systems,0.38,0.04,0.0,0.05,0.47,79.0,27.0,6.4,54.0,Harmonix Music Systems,T
4142,gAuNTLEt LEGENDS,PS,2000,ACtiON,midway games,0.26,0.18,0.0,0.03,0.47,,,,,,
4143,JameS BOnD 007: BlOOd STONe,X360,2010,sHOotER,activision,0.2,0.23,0.0,0.05,0.47,62.0,66.0,7.1,63.0,Bizarre Creations,T
4144,wiPeoUT,PS,1995,AcTIoN,psygnosis,0.26,0.18,0.0,0.03,0.47,,,,,,
4145,StrEEt FIGHteR X teKKeN,X360,2012,FIGHTiNG,capcom,0.31,0.1,0.03,0.04,0.47,83.0,45.0,4.4,177.0,Capcom,T
4146,DARK SEctoR,PS3,2008,sHOoTer,d3publisher,0.23,0.16,0.01,0.07,0.47,72.0,47.0,7.6,70.0,Digital Extremes,M
4147,iCo,PS2,2001,acTiON,sony computer entertainment,0.23,0.18,0.0,0.06,0.47,90.0,59.0,8.8,328.0,SCE Japan Studio,T
4148,WORLD Of WARcraFt: WarlORDs Of DRaenor,PC,2014,acTioN,activision blizzard,0.08,0.36,0.0,0.03,0.47,87.0,49.0,5.9,1154.0,Blizzard Entertainment,T
4149,fOrD RaCInG off RoaD,Wii,2008,racing,xplosiv,0.06,0.39,0.0,0.01,0.47,37.0,5.0,6.3,4.0,Razorworks,E
4150,cars: RACE-o-rama,DS,2009,RacInG,thq,0.35,0.08,0.0,0.04,0.47,,,tbd,,Tantalus Interactive,E
4151,dragon queST 25 SHUuNeN KiNiN: FamIcOm & SUPeR fAMicoM drAgOn QUEST i-ii-III,Wii,2011,Role-PLaYING,square enix,0.0,0.0,0.47,0.0,0.47,,,,,,
4152,uNREAL TournAment iiI,X360,2008,sHooTER,midway games,0.25,0.17,0.01,0.05,0.47,82.0,47.0,7.6,95.0,Epic Games,M
4153,FifA SOccER 13,WiiU,2012,ACtiON,electronic arts,0.17,0.27,0.0,0.04,0.47,69.0,28.0,6.2,49.0,Electronic Arts,E
4154,victOrIoUS BoxERS: Ippo's road TO gloRy,PS2,2000,FigHTiNG,empire interactive,0.05,0.04,0.38,0.01,0.47,75.0,15.0,8,10.0,New,T
4155,dEnsetSU nO stafi,GBA,2002,pLAtForM,nintendo,0.0,0.0,0.46,0.01,0.47,,,,,,
4156,valkyrIe pROFILE 2: SILmERIa,PS2,2006,ROLe-pLAYiNG,square enix,0.04,0.03,0.39,0.01,0.47,84.0,45.0,9,59.0,Tri-Ace,T
4157,PINBalL Hall Of Fame: THe wiLlIAmS coLLECtiON,Wii,2008,mISC,system 3 arcade software,0.41,0.03,0.0,0.04,0.47,82.0,16.0,8.8,36.0,Farsight Studios,E10+
4158,hOt whEeLs vELocity x,PS2,2002,rACINg,thq,0.23,0.18,0.0,0.06,0.47,54.0,7.0,7.1,16.0,Beyond Games,E
4159,mYsiMS racING,Wii,2009,Racing,electronic arts,0.19,0.23,0.0,0.05,0.47,68.0,22.0,7.4,5.0,EA Games,E
4160,CLaSh OF ELEMEntALISTs,DS,2010,acTIoN,level 5,0.0,0.0,0.47,0.0,0.47,34.0,4.0,tbd,,Teyon,T
4161,f.e.A.R. 2: proJECt origIn,PS3,2009,sHOotEr,warner bros. interactive entertainment,0.19,0.2,0.01,0.08,0.47,79.0,48.0,7.9,98.0,Monolith Productions,M
4162,ThE SiMs 2: PEtS,Wii,2007,sImuLatION,electronic arts,0.41,0.02,0.0,0.04,0.47,65.0,15.0,7.3,4.0,Maxis,T
4163,l.a. RuSh,PS2,2005,raciNG,midway games,0.23,0.18,0.0,0.06,0.47,58.0,31.0,8,10.0,Midway,T
4164,momotaROU DEnTetSu V,PS,1999,MiSC,hudson entertainment,0.0,0.0,0.44,0.03,0.47,,,,,,
4165,DOOm 64,N64,1997,shooteR,midway games,0.38,0.08,0.0,0.01,0.47,,,,,,
4166,BOmbERmaN Hero,N64,1998,pLaTFORm,nintendo,0.27,0.06,0.08,0.05,0.47,,,,,,
4167,AUtOmobili lAmBOrGHiNI,N64,1997,RacinG,titus,0.28,0.17,0.0,0.01,0.47,,,,,,
4168,QuesT 64,N64,1998,rOlE-PLaYIng,konami digital entertainment,0.38,0.08,0.0,0.01,0.47,,,,,,
4169,cRasH: MiND OVER mUTANt,X360,2008,PLaTfORm,vivendi games,0.22,0.2,0.0,0.05,0.47,60.0,42.0,6.5,23.0,Radical Entertainment,E10+
4170,VIVA PINatA: TRoUBle in paradiSe,X360,2008,SiMULaTiON,microsoft game studios,0.16,0.25,0.01,0.05,0.47,82.0,64.0,7.9,61.0,Rare Ltd.,E
4171,EPic MiCKeY 2: tHE poWeR oF twO,PS3,2012,aCtIoN,disney interactive studios,0.21,0.18,0.0,0.08,0.47,59.0,36.0,4.3,24.0,Blitz Games Studios,E
4172,COmMAnDo,2600,1987,ACtiOn,activision,0.44,0.02,0.0,0.0,0.47,,,,,,
4173,NbA bALLErS: pheNOM,PS2,2006,sPORts,midway games,0.23,0.18,0.0,0.06,0.47,69.0,19.0,8.5,8.0,Midway,E
4174,DrAgoN agE OriGINs: AwaKeNinG,X360,2010,roLe-plaYINg,electronic arts,0.33,0.1,0.0,0.04,0.47,,,,,,
4175,NeeD For SpEed carbOn,XB,2006,raciNg,electronic arts,0.35,0.1,0.0,0.02,0.47,74.0,19.0,7.4,11.0,EA Canada,E10+
4176,sHAdowruN,X360,2007,RoLE-PlAyING,microsoft game studios,0.41,0.02,0.0,0.04,0.47,66.0,57.0,7.5,156.0,FASA Studio,M
4177,crazy TaXI: faRE WaRS,PSP,2007,rACiNG,sega,0.1,0.22,0.02,0.12,0.47,64.0,25.0,7.1,18.0,Sega,E10+
4178,mtv mUSic gEneraTor,PS,1999,mIsc,codemasters,0.26,0.18,0.0,0.03,0.47,,,,,,
4179,"WarHammEr 40,000: dAWN of waR ii",PC,2009,sTrATeGY,thq,0.0,0.45,0.0,0.02,0.47,85.0,67.0,8.1,1502.0,Relic,M
4180,hAmSTErZ LifE,DS,2006,ACTIoN,ubisoft,0.43,0.01,0.0,0.04,0.47,,,9,13.0,Digital Kids,E
4181,EMERgENcY HEROes,Wii,2008,raCIng,ubisoft,0.14,0.27,0.0,0.05,0.47,41.0,12.0,4.2,15.0,"Ubisoft Barcelona, Ubisoft Reflections",E10+
4182,SUPer MoMOTarou dentetsU dx,SNES,1995,misC,hudson soft,0.0,0.0,0.47,0.0,0.47,,,,,,
4183,fLInGsmaSH,Wii,2010,aCtion,nintendo,0.37,0.01,0.07,0.02,0.47,48.0,26.0,6.8,13.0,Artoon,E
4184,WORLd soCcer wiNNiNg elEven 8: livEwaRe eVoLUTION,PS2,2005,SPortS,konami digital entertainment,0.0,0.0,0.47,0.0,0.47,,,,,,
4185,caRS: RaCe-O-RaMa,PS2,2009,RacinG,thq,0.27,0.03,0.0,0.17,0.47,,,tbd,,Incinerator Games,E
4186,dOwnhiLL DoMinATiON,PS2,2003,RacinG,codemasters,0.23,0.18,0.0,0.06,0.47,79.0,40.0,8.9,32.0,Incognito Inc.,T
4187,dEaD SPAce EXTraCtiOn,Wii,2009,shooTer,electronic arts,0.32,0.1,0.01,0.04,0.47,82.0,76.0,8.1,82.0,"Eurocom Entertainment Software, Visceral Games",M
4188,PIrATES Of thE CArIBbEAn: DEaD MAn's Chest,GBA,2006,aDVentUre,disney interactive studios,0.33,0.12,0.0,0.01,0.47,70.0,8.0,5.6,5.0,Amaze Entertainment,E10+
4189,sileNt hiLL: SHATteReD MeMORIES,Wii,2009,ACtioN,konami digital entertainment,0.22,0.19,0.01,0.05,0.47,79.0,56.0,8,226.0,"Climax Group, Climax Studios",M
4190,acTIvE LIFe: extReme cHAllEngE,Wii,2009,SpoRTs,namco bandai games,0.14,0.27,0.0,0.06,0.47,56.0,13.0,tbd,,TOSE,E
4191,FIFa 12,PC,2011,SpOrTs,electronic arts,0.04,0.33,0.0,0.1,0.47,,,,,,
4192,spiDEr-MAN: frIENd OR FOe,DS,2007,ACtION,activision,0.43,0.0,0.0,0.04,0.47,55.0,12.0,tbd,,Artificial Mind and Movement,E10+
4193,WOrLD SErieS Of PokeR,PS2,2005,miSc,activision,0.39,0.01,0.0,0.06,0.47,46.0,15.0,8.2,20.0,Activision,E10+
4194,iNAzUMA ElEVen go 2: cHroNO stone,3DS,2012,ROLe-pLAYing,level 5,0.0,0.01,0.46,0.0,0.47,,,,,,
4195,Nhl 97,PS,1996,SporTS,electronic arts,0.26,0.18,0.0,0.03,0.47,,,,,,
4196,FInAL faNTaSy cRysTal CHROnIcleS: eChOes Of TiME,DS,2009,ROlE-pLaYiNg,square enix,0.12,0.06,0.27,0.02,0.47,75.0,37.0,7.3,21.0,Square Enix,E10+
4197,RISe Of nIgHtMaRES,X360,2011,ActION,sega,0.28,0.13,0.01,0.04,0.47,54.0,56.0,7.8,44.0,Sega,M
4198,EA SpoRtS Ufc,XOne,2014,SPORTs,electronic arts,0.3,0.12,0.0,0.04,0.47,70.0,23.0,6.3,152.0,EA Sports,T
4199,konG: thE 8tH wONDeR OF tHe WORld,GBA,2005,actIOn,ubisoft,0.33,0.12,0.0,0.01,0.47,59.0,8.0,tbd,,Ubisoft,E10+
4200,SPider-man 3,DS,2007,PLAtfOrM,activision,0.41,0.02,0.0,0.04,0.47,79.0,21.0,6.5,17.0,Vicarious Visions,E10+
4201,DeAD oR ALivE 4,X360,2005,FIghtinG,tecmo koei,0.3,0.03,0.1,0.03,0.47,85.0,76.0,8.2,223.0,Team Ninja,M
4202,GodziLlA: savE The eArTH,PS2,2004,fIGhtinG,atari,0.23,0.18,0.0,0.06,0.47,62.0,19.0,8.7,21.0,"Pipeworks Software, Inc.",T
4203,DANce DAnCe RevoLutiON: Mario MIx,GC,2005,miSc,nintendo,0.36,0.09,0.0,0.01,0.47,69.0,28.0,8.4,19.0,Hudson,E
4204,mEtal GeaR SolID: tHE TWin snAkeS,GC,2004,ActIon,konami digital entertainment,0.3,0.08,0.07,0.01,0.47,85.0,54.0,9,142.0,Silicon Knights,M
4205,tIgER WOOds pgA TOUR 07,Wii,,SPOrTS,electronic arts,0.43,0.0,0.0,0.04,0.47,71.0,41.0,6.9,44.0,EA Redwood Shores,E
4206,aRT aCadeMy: lEsSONS FOR eVERyOnE,3DS,2012,ACTiOn,nintendo,0.2,0.04,0.21,0.02,0.46,81.0,14.0,7.6,22.0,"Nintendo, Headstrong Games",E
4207,mat hofFMAN'S PRo bMx 2,PS2,2002,spORTs,activision,0.23,0.18,0.0,0.06,0.46,76.0,22.0,9.1,7.0,Rainbow Studios,T
4208,metaL gEar SOLid: the esseNTial cOlLectiOn,PS2,2007,AdveNture,konami digital entertainment,0.23,0.18,0.0,0.06,0.46,,,8.9,9.0,Konami,M
4209,ONE pIecE: PIrATE WaRRIoRS 3,PS4,2015,ACtiON,namco bandai games,0.09,0.22,0.1,0.06,0.46,74.0,34.0,7.4,118.0,Omega Force,T
4210,iRIdIoN 3D,GBA,2001,sHooteR,thq,0.33,0.12,0.0,0.01,0.46,53.0,15.0,tbd,,Shin'en,E
4211,2010 FIfA WOrLd cuP SOutH AFrica,PSP,2010,SpORTs,electronic arts,0.09,0.22,0.03,0.12,0.46,69.0,11.0,7.4,9.0,Electronic Arts,E
4212,cLassiC nEs sERIes: pAc-MAN,GBA,2004,puZZle,nintendo,0.25,0.09,0.12,0.01,0.46,53.0,13.0,tbd,,Nintendo,E
4213,two wORLDS Ii,PS3,2011,Role-PlayinG,unknown,0.26,0.1,0.06,0.05,0.46,70.0,28.0,7,65.0,Reality Pump,M
4214,footbAlL MAnager 2015,PC,2014,SIMUlATIOn,sega,0.0,0.44,0.0,0.03,0.46,80.0,36.0,6,151.0,Sports Interactive,
4215,DeStRoy aLl HumANs!,XB,2005,ShooTer,thq,0.34,0.11,0.0,0.02,0.46,,,,,,
4216,PETZ SpORts,Wii,2008,siMulatioN,ubisoft,0.42,0.01,0.0,0.04,0.46,,,,,,
4217,IMaGINE: fIgURe SkatEr (Us SALEs),DS,2007,SPoRTS,ubisoft,0.46,0.01,0.0,0.0,0.46,,,,,,
4218,SimcIty cReator,Wii,2008,SiMULATioN,electronic arts,0.36,0.02,0.04,0.04,0.46,67.0,17.0,6.8,13.0,Electronic Arts,E
4219,DRAgON BaLl z: COLleCtiblE Card Game,GBA,2002,Misc,infogrames,0.33,0.12,0.0,0.01,0.46,62.0,4.0,5.5,4.0,ImaginEngine,E
4220,cIrCUS AtARI,2600,,ActION,atari,0.43,0.03,0.0,0.0,0.46,,,,,,
4221,hARRY pOttEr aNd thE ORdER of ThE phOenix,Wii,2007,ACTion,electronic arts,0.38,0.05,0.0,0.04,0.46,69.0,34.0,7.2,28.0,EA Games,E10+
4222,the sIms 3: AmbiTiOnS,PC,2010,SiMulAtiOn,electronic arts,0.0,0.29,0.0,0.17,0.46,74.0,25.0,7.3,51.0,EA Redwood Shores,T
4223,RaZOr freEstyle SCOotER,PS,1999,sPoRTS,ubisoft,0.26,0.17,0.0,0.03,0.46,65.0,11.0,tbd,,Shaba Games,E
4224,DISney'S KiM PossIblE 3: tEAm poSSiBle,GBA,2005,PLATForm,disney interactive studios,0.33,0.12,0.0,0.01,0.46,76.0,6.0,7.7,6.0,Artificial Mind and Movement,E
4225,rygaR: ThE LEGEnDarY aDveNTure,PS2,2002,AcTiON,wanadoo,0.2,0.15,0.06,0.05,0.46,83.0,30.0,8.4,14.0,Tecmo,T
4226,SyphOn fIlteR: LoGAn's SHAdoW,PSP,2007,ShOoTeR,sony computer entertainment,0.25,0.12,0.0,0.09,0.46,85.0,41.0,8.8,47.0,Sony Bend,T
4227,SUPer baTTer uP,SNES,1992,spOrts,namco bandai games,0.0,0.0,0.46,0.0,0.46,,,,,,
4228,kEsSeN ii,PS2,2001,STRaTEGy,thq,0.13,0.1,0.2,0.03,0.46,71.0,15.0,8.3,22.0,Koei,T
4229,CrayoN SHin-chAN: aRAshi O YobU eNjI,SNES,1993,pLAtfoRM,namco bandai games,0.0,0.0,0.46,0.0,0.46,,,,,,
4230,stUArt liTtLe 2,GBA,2002,platfORm,activision,0.33,0.12,0.0,0.01,0.46,59.0,10.0,tbd,,Creations,E
4231,tAk 2: The STAff Of drEAMS,GBA,2004,PLATForm,thq,0.33,0.12,0.0,0.01,0.46,45.0,5.0,tbd,,Avalanche Software,E
4232,siNgstar amPED,PS2,2007,MISc,sony computer entertainment,0.23,0.18,0.0,0.06,0.46,76.0,20.0,tbd,,SCEE London Studio,T
4233,BRoThErs In ARmS: earnED in blOOd,PS2,2005,SHooteR,ubisoft,0.38,0.01,0.0,0.06,0.46,71.0,20.0,7.9,23.0,Gearbox Software,M
4234,THE EVil withIN,X360,2014,aCTIoN,bethesda softworks,0.25,0.16,0.01,0.04,0.46,,,7.6,172.0,Tango Gameworks,M
4235,drAgoN bALL z: saGaS,PS2,2005,FIghtiNG,atari,0.38,0.01,0.0,0.06,0.46,49.0,13.0,5.4,29.0,Avalanche Software,T
4236,scoOBY-Doo,GBA,2001,PLaTfORm,thq,0.33,0.12,0.0,0.01,0.46,64.0,5.0,tbd,,Helixe,E
4237,MX Vs. AtV: aLive,PS3,2011,rACIng,thq,0.24,0.15,0.0,0.07,0.46,61.0,41.0,6.7,11.0,THQ Digital Studio Phoenix,E
4238,hYDro THuNDER,PS,1999,rACing,midway games,0.26,0.17,0.0,0.03,0.46,,,,,,
4239,nhl fACeOFf '97,PS,1996,spORTS,sony computer entertainment,0.26,0.17,0.0,0.03,0.46,,,,,,
4240,tHIEf (2014),XOne,2014,AcTIon,square enix,0.26,0.15,0.0,0.04,0.46,,,,,,
4241,tHE wALkING deaD: SEasON One,PS4,2014,AdVenTUrE,telltale games,0.12,0.25,0.02,0.07,0.46,,,,,,
4242,NBa LIVe 07,X360,2006,SPOrTs,electronic arts,0.42,0.0,0.0,0.04,0.46,59.0,32.0,4.9,60.0,EA Sports,E
4243,brOThErs In armS: RoAd tO hILL 30,PS2,2005,ShOOTEr,ubisoft,0.38,0.01,0.0,0.06,0.46,82.0,30.0,7.6,30.0,Gearbox Software,M
4244,tHE LEGenD OF SPYrO: dAwn of tHE dRAgOn,DS,2008,pLATfORm,vivendi games,0.26,0.15,0.0,0.05,0.46,57.0,9.0,6.8,10.0,Etranges Libellules,E
4245,gReMliNs,2600,1983,ActioN,atari,0.43,0.03,0.0,0.0,0.46,,,,,,
4246,The maRK of kRI,PS2,2002,aCtIOn,sony computer entertainment,0.22,0.18,0.0,0.06,0.46,80.0,37.0,7.9,29.0,SCEA,M
4247,NEED FoR speed: HOt PurSuit,Wii,2010,rAcINg,electronic arts,0.17,0.23,0.0,0.05,0.46,50.0,8.0,3.7,18.0,Exient Entertainment,E10+
4248,jAMpaCk WINTeR 2003 (Rp-M),PS2,2003,MIsc,sony computer entertainment,0.22,0.18,0.0,0.06,0.46,,,,,,
4249,RugratS: caStLe CAPERS,GBA,2001,actIOn,thq,0.33,0.12,0.0,0.01,0.46,,,,,,
4250,CrASh nItRo KArt,GBA,2003,RACInG,vivendi games,0.33,0.12,0.0,0.01,0.46,77.0,6.0,8.3,12.0,Vicarious Visions,E
4251,cRayoLA: TrEASuRe AdVeNTURES,DS,2007,PUZZLE,ignition entertainment,0.42,0.01,0.0,0.03,0.46,65.0,14.0,tbd,,Crave,E
4252,LeGO ThE HoBbit,PS3,2014,acTiON,warner bros. interactive entertainment,0.12,0.27,0.0,0.07,0.46,,,7,10.0,TT Games,E10+
4253,sILent hILl: dOwnPOUR,PS3,2012,acTION,konami digital entertainment,0.21,0.15,0.04,0.06,0.46,64.0,41.0,6.9,262.0,Vatra,M
4254,Mega Man stAr ForCe 3: bLaCk ACe / REd JokeR,DS,2008,ACTIoN,capcom,0.22,0.0,0.22,0.02,0.46,,,,,,
4255,WwE sMackDOwN VS. rAw 2011,Wii,2010,FIgHTING,thq,0.29,0.13,0.0,0.04,0.46,72.0,7.0,tbd,,Yuke's,T
4256,jak ANd DAxteR: THe LOst fROntieR,PS2,2009,pLatfORm,sony computer entertainment,0.22,0.17,0.0,0.06,0.46,72.0,8.0,4.6,32.0,High Impact Games,E10+
4257,mOMOTARoU DEntetsu 11,PS2,2002,mIsc,hudson soft,0.0,0.0,0.46,0.0,0.46,,,,,,
4258,dIsnEY infInITY 3.0,WiiU,2015,action,disney interactive studios,0.21,0.21,0.0,0.04,0.46,,,,,,
4259,THE sImS 3: oUtdooR liViNG STUfF,PC,2011,SimUlAtION,electronic arts,0.0,0.38,0.0,0.08,0.46,,,5.6,17.0,The Sims Studio,T
4260,staR WaRS: dEmoLItioN,PS,2000,RACINg,activision,0.25,0.17,0.0,0.03,0.46,63.0,11.0,6.5,6.0,"Luxoflux, Inc.",T
4261,bLOOdY ROAR ii,PS,1999,FIGHTING,virgin interactive,0.25,0.17,0.0,0.03,0.46,,,,,,
4262,DELta FoRcE: BLAck haWk dOWn,PS2,2005,sHOOter,novalogic,0.22,0.17,0.0,0.06,0.46,58.0,25.0,8.8,51.0,Rebellion,T
4263,the PrInCess And THe frOG,Wii,2009,PLAtFOrm,disney interactive studios,0.29,0.13,0.0,0.04,0.46,,,tbd,,Griptonite Games,E
4264,spAcE iNvAders,SNES,1994,SHOOtEr,taito,0.0,0.0,0.46,0.0,0.46,,,,,,
4265,.HacK//ouTbReAk pArt 3,PS2,2002,rolE-pLAyING,atari,0.14,0.11,0.17,0.04,0.46,70.0,23.0,8.7,19.0,CyberConnect2,T
4266,MOTHeR 1+2,GBA,2003,RolE-pLAYINg,nintendo,0.0,0.0,0.45,0.01,0.46,,,,,,
4267,mx VS. ATV UNTAmED,PS3,2007,RACINg,thq,0.35,0.06,0.0,0.05,0.46,67.0,33.0,6.1,8.0,Rainbow Studios,E
4268,BOOm BLOX Bash ParTy,Wii,2009,PuZZLe,electronic arts,0.33,0.09,0.0,0.04,0.46,86.0,48.0,8.4,37.0,EA LA,E
4269,TOP sPiN,XB,2003,SpOrTS,microsoft game studios,0.36,0.08,0.0,0.02,0.46,89.0,44.0,8.2,31.0,Pam Development,E
4270,bRotHeRs iN arMs: d-Day,PSP,2006,ShootER,ubisoft,0.23,0.14,0.0,0.09,0.46,65.0,19.0,9.1,64.0,Ubisoft Shanghai,M
4271,WArhAwk,PS,1995,sIMuLaTION,sony computer entertainment,0.25,0.17,0.0,0.03,0.46,,,,,,
4272,the GOLdEn coMpAsS,X360,2007,actIon,sega,0.3,0.12,0.0,0.04,0.46,41.0,25.0,4.1,14.0,Shiny Entertainment,E10+
4273,tOMB raIDeR: legEnd,PSP,2006,aCTIoN,eidos interactive,0.09,0.24,0.0,0.12,0.46,67.0,28.0,7.9,30.0,Buzz Monkey,T
4274,jUSt dAnce 2014,XOne,2013,MIsc,ubisoft,0.3,0.11,0.0,0.04,0.45,71.0,6.0,7,58.0,Ubisoft,E10+
4275,TALES oF vesperiA,PS3,2009,roLE-pLaYINg,namco bandai games,0.0,0.0,0.45,0.0,0.45,,,,,Bandai Namco Games,
4276,2 gAmes in 1: SponGEBoB sQUarEpaNts: SuPErSPOnge & rUGRats gO WIlD,GBA,2005,plATFOrM,thq,0.33,0.12,0.0,0.01,0.45,,,,,,
4277,dOra the eXPLoRER: DoRA sAVES thE SNOw prInCESs,DS,2008,pLaTfORm,take-two interactive,0.26,0.15,0.0,0.03,0.45,,,,,,
4278,mISsile cOmMand,PS,1999,ShOOtEr,atari,0.25,0.17,0.0,0.03,0.45,,,,,,
4279,FifA 15,3DS,2014,SpORtS,electronic arts,0.09,0.34,0.0,0.03,0.45,,,2.4,35.0,EA Sports,E
4280,Jikkyou PoWerFuL PRo YakyUU 3,SNES,1996,SpOrTS,konami digital entertainment,0.0,0.0,0.45,0.0,0.45,,,,,,
4281,JIkkyoU poWeRFUl PRo yaKYUu 12,PS2,2005,spOrts,konami digital entertainment,0.0,0.0,0.45,0.0,0.45,,,,,,
4282,Enter THE MatriX,GC,2003,ACTion,atari,0.34,0.09,0.02,0.01,0.45,63.0,23.0,8,45.0,Shiny Entertainment,T
4283,legO THe HObbit,X360,2014,actiON,warner bros. interactive entertainment,0.2,0.21,0.0,0.04,0.45,70.0,4.0,8.7,11.0,TT Games,E10+
4284,naScAr 2005: CHASE for ThE Cup,XB,2004,RacING,electronic arts,0.34,0.1,0.0,0.02,0.45,86.0,16.0,tbd,,EA Tiburon,E
4285,j-LEague excIte StAgE '95,SNES,1995,sPORTS,epoch,0.0,0.0,0.45,0.0,0.45,,,,,,
4286,ViN DIEseL: whEElman,X360,2009,RaciNg,ubisoft,0.24,0.17,0.0,0.05,0.45,,,,,,
4287,NHl 15,X360,2014,sportS,electronic arts,0.35,0.05,0.0,0.05,0.45,,,2.8,47.0,EA Sports,E10+
